nome_conta,Date,nome_campanha,tipo_rede_ad,impressoes,cliques,interacoes,conversoes,valor_conversoes,investido
Intelbras - E-commerce (A7B),2022-12-05,PMax: Soluções Residenciais - Smart Shopping - Fechadura Eletrônica - Casa Inteligente - 06/2022,MIXED,57688.0,1824.0,1824.0,16.0,16.0,1043.468504
Intelbras - Controle de Acesso (A7B),2022-12-05,[CONT-ACESS - AUT-PORTÕES] TRÁFEGO (display) - Automatizadores Awareness Remarketing,CONTENT,731.0,76.5,76.5,20.06,20.06,214.643258
Intelbras - Redes (A7B),2022-12-05,[REDES - HOME-OFFICE] ALCANCE - (youtube) Wi-Force W5 1200 G,YOUTUBE_WATCH,124987.5,130.5,60115.5,0.0,0.0,1029.3846975
Intelbras - Redes (A7B),2022-12-05,[REDES - FIBRA-ÓPTICA] CONSIDERAÇÃO (youtube) - Fibra Óptica,YOUTUBE_WATCH,29724.5,178.5,19932.5,0.0,0.0,496.251488
Intelbras - Controle de Acesso (A7B),2022-12-05,[CONT-ACESS - AUT-PORTÕES] CONSIDERAÇÃO (youtube) - Automatizadores Awareness,YOUTUBE_WATCH,31858.0,136.0,16328.5,0.0,0.0,484.848449
Intelbras - E-commerce (A7B),2022-12-05,Parceiros - Compra Fácil - Com Instalação - Cidades Pequenas,MIXED,22672.0,200.0,200.0,0.0,0.0,148.56
Intelbras - Energia Solar (A7B),2022-12-05,[ES - OG] Leads (PMAX) - Simulador Solar,MIXED,1776330.0,7786.0,7786.0,603.5,603.5,2928.522884
Intelbras - Segurança (A7B),2022-12-05,[SEG - TMR] Tráfego (Discovery) - Micro SD,MIXED,8151.5,76.5,1581.0,0.0,0.0,231.781043
Intelbras - Comunicação (A7B),2022-12-05,[CM - PRF] Tráfego (Search) - Ambiente de trabalho,SEARCH,38564.5,748.0,748.0,0.0,0.0,1655.205
Intelbras - Redes (A7B),2022-12-05,[REDES - CAB-ESTRUT] TRÁFEGO (search) - Racks e Acessórios,SEARCH,10081.0,416.5,416.5,81.344999999999942,81.344999999999942,395.845
Intelbras - Energia Solar (A7B),2022-12-05,[ES - OG] Lead (Search) - SeP Agronegocio,SEARCH,620.5,42.5,42.5,0.0,0.0,135.15
Intelbras - Energia Solar (A7B),2022-12-05,[ES - OG] Leads (Search) - SeP Grandes Empresas,SEARCH,1317.5,68.0,68.0,0.0,0.0,143.48
Intelbras - Segurança (A7B),2022-12-05,[SEG - TMR] Tráfego (Search) - Micro SD,SEARCH,28517.5,1045.5,1045.5,8.5,8.5,485.01
Intelbras - Energia Solar (A7B),2022-12-05,[ES - OG] Remarketing (Display) - Simulador Solar,CONTENT,55598.5,2150.5,2150.5,51.0,51.0,298.86
